epoch,train_loss,val_loss,miou,mpa,dice,recall,precision,fg_iou,bg_iou,fpr,fnr
125,0.2435,0.2765,0.7312,0.8588,0.7634,0.8245,0.7163,0.6196,0.8429,0.1068,0.1755
126,0.2480,0.2749,0.7305,0.8611,0.7637,0.8333,0.7104,0.6199,0.8411,0.1111,0.1667
127,0.2486,0.2751,0.7327,0.8595,0.7648,0.8245,0.7189,0.6213,0.8442,0.1054,0.1755
128,0.2513,0.2893,0.7345,0.8452,0.7601,0.7714,0.7565,0.6157,0.8532,0.0810,0.2286
129,0.2391,0.2709,0.7290,0.8643,0.7640,0.8472,0.7009,0.6202,0.8377,0.1185,0.1528
130,0.5845,0.5388,0.5066,0.6619,0.4860,0.5226,0.4625,0.3226,0.6906,0.1988,0.4774
131,0.5247,0.5071,0.5336,0.6850,0.5194,0.5464,0.5052,0.3524,0.7148,0.1764,0.4536
132,0.4993,0.4783,0.5398,0.7158,0.5564,0.6587,0.4897,0.3867,0.6930,0.2270,0.3413
133,0.4688,0.4564,0.5645,0.7310,0.5793,0.6597,0.5242,0.4093,0.7198,0.1978,0.3403
134,0.4644,0.4443,0.5744,0.7396,0.5909,0.6706,0.5361,0.4209,0.7278,0.1914,0.3294
135,0.4523,0.4337,0.5940,0.7447,0.6041,0.6466,0.5750,0.4346,0.7534,0.1572,0.3534
136,0.4387,0.4251,0.5968,0.7538,0.6132,0.6763,0.5685,0.4438,0.7497,0.1686,0.3237
137,0.4398,0.4180,0.5954,0.7620,0.6192,0.7114,0.5548,0.4502,0.7407,0.1875,0.2886
138,0.4298,0.4189,0.6070,0.7570,0.6206,0.6671,0.5880,0.4521,0.7619,0.1531,0.3329
139,0.4188,0.4066,0.6105,0.7677,0.6313,0.7019,0.5800,0.4632,0.7577,0.1665,0.2981
140,0.4005,0.3998,0.6067,0.7767,0.6363,0.7440,0.5612,0.4683,0.7450,0.1907,0.2560
141,0.4047,0.3948,0.6183,0.7767,0.6426,0.7210,0.5854,0.4753,0.7612,0.1675,0.2790
142,0.3975,0.3902,0.6155,0.7828,0.6458,0.7504,0.5714,0.4787,0.7523,0.1848,0.2496
143,0.3899,0.3877,0.6182,0.7856,0.6489,0.7549,0.5739,0.4821,0.7542,0.1837,0.2451
144,0.3968,0.3932,0.6365,0.7710,0.6488,0.6626,0.6422,0.4826,0.7905,0.1205,0.3374
145,0.3955,0.3753,0.6301,0.7920,0.6600,0.7558,0.5906,0.4946,0.7657,0.1717,0.2442
146,0.3740,0.3720,0.6326,0.7955,0.6637,0.7638,0.5915,0.4988,0.7665,0.1729,0.2362
147,0.3737,0.3713,0.6417,0.7929,0.6671,0.7367,0.6150,0.5030,0.7804,0.1509,0.2633
148,0.3654,0.3687,0.6331,0.7998,0.6669,0.7789,0.5874,0.5022,0.7640,0.1793,0.2211
149,0.3705,0.3660,0.6437,0.7987,0.6724,0.7541,0.6117,0.5085,0.7789,0.1568,0.2459
150,0.3630,0.3633,0.6510,0.7975,0.6763,0.7370,0.6297,0.5132,0.7888,0.1420,0.2630
151,0.3631,0.3618,0.6501,0.7989,0.6767,0.7442,0.6252,0.5137,0.7865,0.1464,0.2558
152,0.3505,0.3564,0.6405,0.8105,0.6781,0.8051,0.5898,0.5151,0.7659,0.1840,0.1949
153,0.3507,0.3548,0.6474,0.8107,0.6823,0.7928,0.6033,0.5201,0.7748,0.1713,0.2072
